Kecamatan,Kode,Sekolah.7.12,Sekolah.13.15,Sekolah.16.18,Sekolah.Total,Tak.Sekolah.7.12,Tak.Sekolah.13.15,Tak.Sekolah.16.18,Total.Tak.Sekolah,Grand.Total,latitude,longitude
TEUPAH SELATAN,10,487,223,201,911,62,27,55,144,1055,2.316777992,96.48611481
SIMEULUE TIMUR,20,519,280,245,1044,18,20,75,113,1157,2.487851272,96.32700819
TEUPAH BARAT,21,521,251,209,981,22,19,47,88,1069,2.485748058,96.23294048
SIMEULUE TENGAH,30,607,306,244,1157,10,8,59,77,1234,2.618401599,96.02518503
TELUK DALAM,31,282,172,134,588,2,2,29,33,621,2.63694738,96.14482683
SALANG,40,758,377,316,1451,15,11,72,98,1549,2.676672614,95.86053908
SIMEULUE BARAT,50,1103,522,415,2040,22,22,110,154,2194,2.78276692,95.92013784
ALAFAN,51,587,248,192,1027,11,5,59,75,1102,2.805260242,95.7614773
PULAU BANYAK,10,289,146,86,521,10,12,32,54,575,2.154542266,97.25033322
PULAU BANYAK BARAT,11,288,111,60,459,44,25,58,127,586,,
SINGKIL,20,1083,557,320,1960,18,35,111,164,2124,2.33130195,97.8025295
SINGKIL UTARA,21,696,347,243,1286,11,26,71,108,1394,2.274402207,97.99569377
KUALA BARU,22,251,109,80,440,5,9,20,34,474,2.370522466,97.72805274
SIMPANG KANAN,30,900,503,287,1690,29,39,113,181,1871,2.429505551,98.03787093
GUNUNG MERIAH,31,1263,631,369,2263,68,57,156,281,2544,2.383762115,97.96209305
DANAU PARIS,32,366,182,90,638,47,26,55,128,766,2.315279654,98.11817103
SURO,33,843,405,284,1532,48,41,80,169,1701,2.530484897,98.02717892
SINGKOHOR,42,193,103,85,381,2,5,18,25,406,2.528740909,97.93618928
KOTA BAHARU,43,299,147,77,523,2,9,36,47,570,2.45952977,97.85339011
TRUMON,10,420,200,93,713,15,29,58,102,815,2.654803781,97.70859567
TRUMON TIMUR,11,518,248,121,887,20,51,99,170,1057,2.890080339,97.77576215
TRUMON TENGAH,12,334,162,73,569,10,17,67,94,663,,
BAKONGAN,20,131,55,36,222,3,6,25,34,256,2.999945239,97.53945895
BAKONGAN TIMUR,21,384,142,92,618,5,18,43,66,684,2.908171747,97.56143275
KOTA BAHAGIA,22,461,170,99,730,23,14,55,92,822,,
KLUET SELATAN,30,667,287,136,1090,12,30,88,130,1220,3.038233509,97.42078037
KLUET TIMUR,31,684,276,150,1110,15,23,91,129,1239,3.172187269,97.45625666
KLUET UTARA,40,948,379,251,1578,49,45,155,249,1827,3.125212471,97.34851923
PASIE RAJA,41,668,267,127,1062,22,20,92,134,1196,3.209761913,97.30037698
KLUET TENGAH,42,313,136,74,523,4,13,59,76,599,3.427534083,97.35630023
TAPAK TUAN,50,156,79,24,259,5,3,24,32,291,3.286233218,97.22867162
SAMA DUA,60,244,135,92,471,26,10,37,73,544,3.346928852,97.19315351
SAWANG,70,279,118,74,471,8,10,33,51,522,3.428995477,97.17464989
MEUKEK,80,701,268,185,1154,20,26,106,152,1306,3.563243786,97.17231736
LABUHAN HAJI,90,275,147,93,515,6,10,50,66,581,3.589929467,97.04779257
LABUHAN HAJI TIMUR,91,437,229,127,793,36,18,58,112,905,3.588711042,97.09212076
LABUHAN HAJI BARAT,92,697,290,172,1159,15,28,114,157,1316,3.620991225,97.0351062
LAWE ALAS,10,962,616,395,1973,14,19,102,135,2108,3.433633369,97.8192236
BABUL RAHMAD,11,664,400,208,1272,12,20,85,117,1389,3.11600225,97.81227534
TANOH ALAS,12,208,118,83,409,6,5,33,44,453,3.236757183,97.67032932
LAWE SIGALA-GALA,20,1054,576,324,1954,58,31,90,179,2133,3.351977571,97.93619596
